2020-05-13 18:59:35.911 [logId = ] [restartedMain] INFO  c.s.springbootlogger.SpringbootloggerApplication - Starting SpringbootloggerApplication on DESKTOP-RK44MTQ with PID 99988 (D:\IDEA\Project\myProjects\study\springbootlogger\target\classes started by simon in D:\IDEA\Project\myProjects\study)
2020-05-13 18:59:35.915 [logId = ] [restartedMain] INFO  c.s.springbootlogger.SpringbootloggerApplication - No active profile set, falling back to default profiles: default
2020-05-13 18:59:36.072 [logId = ] [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-05-13 18:59:36.074 [logId = ] [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-05-13 18:59:36.809 [logId = ] [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8085 (http)
2020-05-13 18:59:36.817 [logId = ] [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8085"]
2020-05-13 18:59:36.818 [logId = ] [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-05-13 18:59:36.818 [logId = ] [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-05-13 18:59:36.892 [logId = ] [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-05-13 18:59:36.892 [logId = ] [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 817 ms
2020-05-13 18:59:37.039 [logId = ] [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-05-13 18:59:37.188 [logId = ] [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-05-13 18:59:37.201 [logId = ] [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8085"]
2020-05-13 18:59:37.221 [logId = ] [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8085 (http) with context path ''
2020-05-13 18:59:37.224 [logId = ] [restartedMain] INFO  c.s.springbootlogger.SpringbootloggerApplication - Started SpringbootloggerApplication in 2.013 seconds (JVM running for 2.679)
2020-05-13 18:59:49.377 [logId = ] [http-nio-8085-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-05-13 18:59:49.377 [logId = ] [http-nio-8085-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-05-13 18:59:49.382 [logId = ] [http-nio-8085-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2020-05-13 18:59:54.781 [logId = ed4f7b15-ed2d-4e5f-9996-24d990e9447f] [http-nio-8085-exec-3] INFO  c.study.springbootlogger.controller.TestController - info---------
